Created: Wed Apr 15 21:21:10 2020
Ion1D version: 1.7
SOURCE MODEL                R                 alpha             beta              mu                omega             phia              tau               z1                z2                
000    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.00000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
001    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.80000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
002    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.60000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
003    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.40000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
004    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.20000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
005    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.00000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
006    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.80000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
007    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.60000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
008    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.40000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
009    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.20000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
010    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.00000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
011    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.80000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
012    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.60000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
013    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.40000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
014    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.20000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
015    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.00000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
016    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.80000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
017    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.60000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
018    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.40000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
019    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.20000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
020    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.00000000e+01   1.00000000e+00    1.00000000e-02    2.10000000e-01    
021    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -8.00000000e+00   1.00000000e+00    1.00000000e-02    2.10000000e-01    
022    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.00000000e+00   1.00000000e+00    1.00000000e-02    2.10000000e-01    
023    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.00000000e+00   1.00000000e+00    1.00000000e-02    2.10000000e-01    
024    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.00000000e+00   1.00000000e+00    1.00000000e-02    2.10000000e-01    
025    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e-02    2.10000000e-01    
026    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.00000000e+00    1.00000000e+00    1.00000000e-02    2.10000000e-01    
027    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    4.00000000e+00    1.00000000e+00    1.00000000e-02    2.10000000e-01    
028    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    6.00000000e+00    1.00000000e+00    1.00000000e-02    2.10000000e-01    
029    FiniteIon1D          1.00000000e+03    1.00000000e-04    2.00000000e+01    2.00000000e+02    5.00000000e+00    8.00000000e+00    1.00000000e+00    1.00000000e-02    2.10000000e-01    
