Created: Wed Apr 15 10:09:25 2020
Ion1D version: 1.7
SOURCE MODEL                R                 alpha             beta              mu                omega             phia              tau               z1                
000    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -5.00000000e+01   1.00000000e+00    4.00000000e-01    
001    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.80000000e+01   1.00000000e+00    4.00000000e-01    
002    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.60000000e+01   1.00000000e+00    4.00000000e-01    
003    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.40000000e+01   1.00000000e+00    4.00000000e-01    
004    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.20000000e+01   1.00000000e+00    4.00000000e-01    
005    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.00000000e+01   1.00000000e+00    4.00000000e-01    
006    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.80000000e+01   1.00000000e+00    4.00000000e-01    
007    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.60000000e+01   1.00000000e+00    4.00000000e-01    
008    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.40000000e+01   1.00000000e+00    4.00000000e-01    
009    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.20000000e+01   1.00000000e+00    4.00000000e-01    
010    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.00000000e+01   1.00000000e+00    4.00000000e-01    
011    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.80000000e+01   1.00000000e+00    4.00000000e-01    
012    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.60000000e+01   1.00000000e+00    4.00000000e-01    
013    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.40000000e+01   1.00000000e+00    4.00000000e-01    
014    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.20000000e+01   1.00000000e+00    4.00000000e-01    
015    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.00000000e+01   1.00000000e+00    4.00000000e-01    
016    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.80000000e+01   1.00000000e+00    4.00000000e-01    
017    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.60000000e+01   1.00000000e+00    4.00000000e-01    
018    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.40000000e+01   1.00000000e+00    4.00000000e-01    
019    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.20000000e+01   1.00000000e+00    4.00000000e-01    
020    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.00000000e+01   1.00000000e+00    4.00000000e-01    
021    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -8.00000000e+00   1.00000000e+00    4.00000000e-01    
022    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -6.00000000e+00   1.00000000e+00    4.00000000e-01    
023    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -4.00000000e+00   1.00000000e+00    4.00000000e-01    
024    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -2.00000000e+00   1.00000000e+00    4.00000000e-01    
025    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    0.00000000e+00    1.00000000e+00    4.00000000e-01    
026    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.00000000e+00    1.00000000e+00    4.00000000e-01    
027    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    4.00000000e+00    1.00000000e+00    4.00000000e-01    
028    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    6.00000000e+00    1.00000000e+00    4.00000000e-01    
029    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    8.00000000e+00    1.00000000e+00    4.00000000e-01    
030    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.00000000e+01    1.00000000e+00    4.00000000e-01    
031    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.20000000e+01    1.00000000e+00    4.00000000e-01    
032    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.40000000e+01    1.00000000e+00    4.00000000e-01    
033    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.60000000e+01    1.00000000e+00    4.00000000e-01    
034    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.80000000e+01    1.00000000e+00    4.00000000e-01    
035    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.00000000e+01    1.00000000e+00    4.00000000e-01    
036    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.20000000e+01    1.00000000e+00    4.00000000e-01    
037    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.40000000e+01    1.00000000e+00    4.00000000e-01    
038    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.60000000e+01    1.00000000e+00    4.00000000e-01    
039    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    2.80000000e+01    1.00000000e+00    4.00000000e-01    
040    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.00000000e+01    1.00000000e+00    4.00000000e-01    
041    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.20000000e+01    1.00000000e+00    4.00000000e-01    
042    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.40000000e+01    1.00000000e+00    4.00000000e-01    
043    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.60000000e+01    1.00000000e+00    4.00000000e-01    
044    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.80000000e+01    1.00000000e+00    4.00000000e-01    
045    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -9.00000000e+00   1.00000000e+00    4.00000000e-01    
046    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -7.00000000e+00   1.00000000e+00    4.00000000e-01    
047    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -5.00000000e+00   1.00000000e+00    4.00000000e-01    
048    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -3.00000000e+00   1.00000000e+00    4.00000000e-01    
049    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    -1.00000000e+00   1.00000000e+00    4.00000000e-01    
050    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.00000000e+00    1.00000000e+00    4.00000000e-01    
051    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e-01    
052    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    5.00000000e+00    1.00000000e+00    4.00000000e-01    
053    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    7.00000000e+00    1.00000000e+00    4.00000000e-01    
054    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    9.00000000e+00    1.00000000e+00    4.00000000e-01    
055    AnchoredFiniteIon1D  1.00000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    2.50000000e+00    1.10000000e+01    1.00000000e+00    4.00000000e-01    
